CSS品質チェック ベースラインレポート
============================================================
エラー: 0 件 / 警告: 122 件
[WARNING] css/pages/aws-ram-tgw-sharing.css:15 [no-global-tag-selector] グローバルタグセレクタ `h1 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/aws-scp-simplified.css:13 [no-global-tag-selector] グローバルタグセレクタ `h1 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/aws-scp-simplified.css:21 [no-global-tag-selector] グローバルタグセレクタ `h2 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/aws-well-architected-complete-guide.css:1035 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/aws-well-architected-complete-guide.css:1262 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/aws_systems_manager_infographic.css:248 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/aws_systems_manager_infographic.css:300 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/blue-green-vs-immutable-visual-guide.css:603 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/cf-service-catalog-infographic.css:25 [no-global-tag-selector] グローバルタグセレクタ `h1 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/cf-service-catalog-infographic.css:382 [no-global-tag-selector] グローバルタグセレクタ `h1 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/cis-benchmark-security-hub-config-guide.css:428 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/cis-benchmark-security-hub-config-guide.css:755 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/cloudformation-drift-detection-auto-remediation-guide.css:331 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/cloudformation-drift-detection-auto-remediation-guide.css:527 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/cloudfront-cache-infographic.css:36 [no-global-tag-selector] グローバルタグセレクタ `h1 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/cloudfront-cache-infographic.css:156 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/cloudfront-origin-groups.css:24 [no-global-tag-selector] グローバルタグセレクタ `h1 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/cloudfront-origin-groups.css:26 [no-global-tag-selector] グローバルタグセレクタ `h2 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/cloudfront-security-headers-guide.css:630 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/cloudfront-security-headers-guide.css:896 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/cloudwatch-insight-rule-metric-guide.css:311 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/cloudwatch-insight-rule-metric-guide.css:503 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/cloudwatch-procstat-guide.css:388 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/cloudwatch-putmetricdata-guide.css:410 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/cloudwatch-putmetricdata-guide.css:686 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/codeartifact-guide.css:277 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/codeartifact-guide.css:506 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/codepipeline-deploymentgroup-guide.css:590 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/cognito-identity-pool-roles-guide.css:422 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/cognito-identity-pool-roles-guide.css:535 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/dns-records-guide.css:220 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/ec2-autoscaling-lifecycle-hooks.css:22 [no-global-tag-selector] グローバルタグセレクタ `h1 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/ec2-autoscaling-lifecycle-hooks.css:31 [no-global-tag-selector] グローバルタグセレクタ `h2 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/ec2-bootstrap-infographic.css:15 [no-global-tag-selector] グローバルタグセレクタ `h1 {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/ec2-image-builder-guide.css:462 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/ec2-image-builder-guide.css:711 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/ec2-log-backup-before-termination-guide.css:333 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
[WARNING] css/pages/ecr-image-scanning-guide.css:267 [no-global-tag-selector] グローバルタグセレクタ `table {}` の単独使用は禁止です（親クラスでスコープ化してください）
